vendor,audits,Type,language
AGR-FL,0,Sales,English
AGR-FL-Smallcom,30,Sales,English
AGR-NV,55,Sales,English
Client Tool - Call Caps,485,Sales,English
IQOR-TX-Bounce,100,Sales,English
Phoenix-USN,170,Sales,English
ResultsTel-English,230,Sales,English
ResultsTel-Spanish,97,Sales,English
